iter	Passed	Remaining
646	1519	829
647	1521	826
648	1523	824
649	1525	821
650	1527	818
651	1528	815
652	1530	813
653	1532	810
654	1534	808
655	1536	805
656	1538	803
657	1540	800
658	1542	798
659	1544	795
660	1547	793
661	1550	791
662	1553	789
663	1556	787
664	1558	785
665	1560	782
666	1562	780
667	1564	777
668	1566	775
669	1569	772
670	1570	770
671	1572	767
672	1574	764
673	1575	762
674	1577	759
675	1579	756
676	1581	754
677	1583	751
678	1585	749
679	1587	746
680	1588	744
681	1591	742
682	1594	739
683	1597	737
684	1599	735
685	1601	733
686	1603	730
687	1605	728
688	1607	725
689	1609	723
690	1612	720
691	1614	718
692	1615	715
693	1617	713
694	1619	710
695	1621	708
696	1622	705
697	1624	702
698	1626	700
699	1628	698
700	1630	695
701	1632	692
702	1634	690
703	1635	687
704	1637	685
705	1639	682
706	1641	680
707	1643	677
708	1645	675
709	1647	672
710	1648	670
711	1650	667
712	1652	665
713	1654	662
714	1655	660
715	1658	657
716	1660	655
717	1662	652
718	1664	650
719	1666	647
720	1668	645
721	1669	642
722	1671	640
723	1674	638
724	1676	635
725	1677	633
726	1679	630
727	1681	628
728	1683	625
729	1684	623
730	1687	620
731	1689	618
732	1691	616
733	1693	613
734	1695	611
735	1697	608
736	1699	606
737	1700	603
738	1703	601
739	1705	599
740	1708	597
741	1711	595
742	1713	592
743	1715	590
744	1718	588
745	1720	585
746	1722	583
747	1724	580
748	1725	578
749	1727	575
750	1729	573
751	1730	570
752	1732	568
753	1734	565
754	1736	563
755	1740	561
756	1743	559
757	1745	557
758	1749	555
759	1752	553
760	1755	551
761	1758	549
762	1760	546
763	1762	544
764	1765	542
765	1767	540
766	1770	537
767	1772	535
768	1774	532
769	1776	530
770	1778	528
771	1780	525
772	1784	524
773	1788	522
774	1791	520
775	1794	518
776	1797	515
777	1800	513
778	1802	511
779	1804	508
780	1806	506
781	1808	504
782	1811	501
783	1813	499
784	1815	497
785	1816	494
786	1818	492
787	1820	489
788	1821	487
789	1823	484
790	1825	482
791	1827	479
792	1829	477
793	1831	475
794	1833	472
795	1834	470
796	1836	467
797	1839	465
798	1841	463
799	1844	461
800	1846	458
801	1848	456
802	1850	454
803	1852	451
804	1854	449
805	1856	446
806	1858	444
807	1860	442
808	1862	439
809	1863	437
810	1865	434
811	1867	432
812	1869	429
813	1871	427
814	1873	425
815	1875	422
816	1877	420
817	1879	418
818	1881	415
819	1883	413
820	1886	411
821	1888	408
822	1890	406
823	1891	404
824	1893	401
825	1895	399
826	1896	396
827	1898	394
828	1900	392
829	1902	389
830	1904	387
831	1905	384
832	1907	382
833	1909	380
834	1911	377
835	1913	375
836	1914	372
837	1918	370
838	1921	368
839	1924	366
840	1927	364
841	1929	362
842	1932	359
843	1934	357
844	1936	355
845	1938	352
846	1940	350
847	1941	348
848	1943	345
849	1945	343
850	1947	340
851	1949	338
852	1951	336
853	1952	333
854	1954	331
855	1956	329
856	1957	326
857	1959	324
858	1962	322
859	1964	319
860	1967	317
861	1969	315
862	1971	312
863	1973	310
864	1975	308
865	1976	305
866	1978	303
867	1980	301
868	1982	298
869	1984	296
870	1985	294
871	1987	291
872	1989	289
873	1990	286
874	1993	284
875	1995	282
876	1998	280
877	2000	277
878	2002	275
879	2004	273
880	2006	271
881	2008	268
882	2010	266
883	2012	264
884	2013	261
885	2015	259
886	2017	256
887	2018	254
888	2020	252
889	2022	249
890	2024	247
891	2025	245
892	2027	242
893	2029	240
894	2031	238
895	2033	236
896	2035	233
897	2037	231
898	2039	229
899	2040	226
900	2042	224
901	2044	222
902	2046	219
903	2047	217
904	2050	215
905	2053	213
906	2055	210
907	2058	208
908	2060	206
909	2062	203
910	2064	201
911	2066	199
912	2068	197
913	2070	194
914	2072	192
915	2074	190
916	2075	187
917	2077	185
918	2079	183
919	2080	180
920	2082	178
921	2084	176
922	2086	174
923	2088	171
924	2090	169
925	2091	167
926	2093	164
927	2095	162
928	2097	160
929	2099	158
930	2101	155
931	2102	153
932	2104	151
933	2106	148
934	2110	146
935	2113	144
936	2117	142
937	2120	140
938	2122	137
939	2125	135
940	2127	133
941	2130	131
942	2132	128
943	2134	126
944	2136	124
945	2137	122
946	2139	119
947	2141	117
948	2143	115
949	2145	112
950	2146	110
951	2148	108
952	2150	106
953	2152	103
954	2153	101
955	2155	99
956	2157	96
957	2159	94
958	2161	92
959	2163	90
960	2165	87
961	2166	85
962	2169	83
963	2170	81
964	2172	78
965	2174	76
966	2177	74
967	2178	72
968	2180	69
969	2182	67
970	2184	65
971	2185	62
972	2187	60
973	2189	58
974	2191	56
975	2193	53
976	2194	51
977	2197	49
978	2199	47
979	2201	44
980	2203	42
981	2205	40
982	2207	38
983	2209	35
984	2211	33
985	2213	31
986	2214	29
987	2216	26
988	2218	24
989	2220	22
990	2222	20
991	2224	17
992	2226	15
993	2228	13
994	2229	11
995	2231	8
996	2233	6
997	2235	4
998	2238	2
999	2239	0
