gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,team,teamSaves_rolling,opponentSaves_rolling,teamSaves_rolling_3,opponentSaves_rolling_3,teamSaves_rolling_10,opponentSaves_rolling_10,teamSaves_rolling_15,opponentSaves_rolling_15
2024020037,True,ANA,30,30,0,2,28,30,False,SJS,,,,,,,,
2024020037,False,SJS,30,30,2,0,30,28,False,ANA,,,,,,,,
2024020038,False,WPG,27,35,1,2,33,26,True,MIN,,,,,,,,
2024020038,True,MIN,35,27,2,1,26,33,False,WPG,,,,,,,,
2024020039,False,DAL,25,23,0,2,21,25,True,SEA,,,,,,,,
2024020039,True,SEA,23,25,2,0,25,21,True,DAL,,,,,,,,
2024020040,True,CGY,26,29,1,4,25,25,True,EDM,,,,,,,,
2024020040,False,EDM,29,26,4,1,25,25,True,CGY,,,,,,,,
2024020041,True,ANA,32,23,3,1,22,29,False,VGK,,,,,,,,
2024020041,False,VGK,23,32,1,3,29,22,True,ANA,,,,,,,,
2024020042,False,BOS,26,27,4,3,24,22,False,FLA,,,24.666666666666668,27.666666666666668,,,,
2024020042,True,FLA,27,26,3,4,22,24,False,BOS,,,27.333333333333332,23.666666666666668,,,,
2024020043,True,LAK,41,26,8,7,19,33,False,OTT,,,,,,,,
2024020043,False,OTT,26,41,7,8,33,19,False,LAK,,,,,,,,
2024020044,False,NJD,20,32,0,3,29,20,False,UTA,,,25.333333333333332,21.0,,,,
2024020044,True,UTA,32,20,3,0,20,29,False,NJD,,,21.333333333333332,27.666666666666668,,,,
2024020045,False,NYR,32,28,1,4,24,31,False,DET,,,,,,,,
2024020045,True,DET,28,32,4,1,31,24,False,NYR,,,,,,,,
2024020046,False,MTL,30,28,6,3,25,24,False,PIT,,,30.666666666666668,24.666666666666668,,,,
2024020046,True,PIT,28,30,3,6,24,25,False,MTL,,,31.666666666666668,22.666666666666668,,,,
2024020047,False,COL,37,34,6,2,32,31,False,NYI,,,,,,,,
2024020047,True,NYI,34,37,2,6,31,32,False,COL,,,,,,,,
2024020048,True,VAN,27,27,4,1,26,23,False,TBL,,,,,,,,
2024020048,False,TBL,27,27,1,4,23,26,False,VAN,,,,,,,,
2024020049,False,WSH,26,22,2,4,18,24,False,VGK,,,23.0,22.0,,,,
2024020049,True,VGK,22,26,4,2,24,18,False,WSH,,,,,,,,
2024020050,False,CAR,26,31,2,4,27,24,True,NJD,22.8,26.2,22.333333333333332,26.0,,,,
2024020050,True,NJD,31,26,4,2,24,27,False,CAR,,,,,,,,
2024020051,True,FLA,38,22,3,4,18,35,False,CBJ,,,,,,,,
2024020051,False,CBJ,22,38,4,3,35,18,True,FLA,,,24.666666666666668,25.333333333333332,,,,
2024020052,False,STL,27,28,4,1,27,23,False,MIN,,,31.333333333333332,27.666666666666668,,,,
2024020052,True,MIN,28,27,1,4,23,27,False,STL,,,26.333333333333332,25.333333333333332,,,,
2024020053,True,SEA,33,35,3,7,28,30,False,NSH,,,,,,,,
2024020053,False,NSH,35,33,7,3,30,28,False,SEA,,,25.666666666666668,28.333333333333332,,,,
2024020054,True,SJS,38,27,3,2,25,36,False,DAL,,,30.666666666666668,20.333333333333332,,,,
2024020054,False,DAL,27,38,2,3,36,25,False,SJS,,,,,,,,
