gameID,gameDate,isHome,opponent,team,teamSaves_last,opponentSaves_last,teamSaves_rolling_5,opponentSaves_rolling_5,teamSaves_rolling_3,opponentSaves_rolling_3,teamSaves_rolling_10,opponentSaves_rolling_10,teamSaves_rolling_15,opponentSaves_rolling_15,opponentTeamSaves_last,opponentOpponentSaves_last,opponentTeamSaves_rolling_5,opponentOpponentSaves_rolling_5,opponentTeamSaves_rolling_3,opponentOpponentSaves_rolling_3,opponentTeamSaves_rolling_10,opponentOpponentSaves_rolling_10,opponentTeamSaves_rolling_15,opponentOpponentSaves_rolling_15,teamCorsi_last,opponentCorsi_last,teamCorsi_rolling_5,opponentCorsi_rolling_5,teamCorsi_rolling_3,opponentCorsi_rolling_3,teamCorsi_rolling_10,opponentCorsi_rolling_10,teamCorsi_rolling_15,opponentCorsi_rolling_15,opponentTeamCorsi_last,opponentOpponentCorsi_last,opponentTeamCorsi_rolling_5,opponentOpponentCorsi_rolling_5,opponentTeamCorsi_rolling_3,opponentOpponentCorsi_rolling_3,opponentTeamCorsi_rolling_10,opponentOpponentCorsi_rolling_10,opponentTeamCorsi_rolling_15,opponentOpponentCorsi_rolling_15,teamFenwick_last,opponentFenwick_last,teamFenwick_rolling_5,opponentFenwick_rolling_5,teamFenwick_rolling_3,opponentFenwick_rolling_3,teamFenwick_rolling_10,opponentFenwick_rolling_10,teamFenwick_rolling_15,opponentFenwick_rolling_15,opponentTeamFenwick_last,opponentOpponentFenwick_last,opponentTeamFenwick_rolling_5,opponentOpponentFenwick_rolling_5,opponentTeamFenwick_rolling_3,opponentOpponentFenwick_rolling_3,opponentTeamFenwick_rolling_10,opponentOpponentFenwick_rolling_10,opponentTeamFenwick_rolling_15,opponentOpponentFenwick_rolling_15,backToBack,teamSaves,opponentSaves,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst,splitGame
2024020025,2024-10-12,True,FLA,BUF,20.0,32.0,24.333333333333332,26.333333333333332,24.333333333333332,26.333333333333332,24.333333333333332,26.333333333333332,24.333333333333332,26.333333333333332,28.0,31.0,,,,,,,,,72.0,52.0,66.0,60.666666666666664,66.0,60.666666666666664,66.0,60.666666666666664,66.0,60.666666666666664,64.0,70.0,,,,,,,,,53.0,32.0,49.333333333333336,40.0,49.333333333333336,40.0,49.333333333333336,40.0,49.333333333333336,40.0,52.0,40.0,,,,,,,,,False,23,22,68,44,50,29,False
2024020025,2024-10-12,False,BUF,FLA,28.0,31.0,,,,,,,,,20.0,32.0,24.333333333333332,26.333333333333332,24.333333333333332,26.333333333333332,24.333333333333332,26.333333333333332,24.333333333333332,26.333333333333332,64.0,70.0,,,,,,,,,73.0,52.0,66.0,60.666666666666664,66.0,60.666666666666664,66.0,60.666666666666664,66.0,60.666666666666664,52.0,40.0,,,,,,,,,54.0,32.0,49.333333333333336,40.0,49.333333333333336,40.0,49.333333333333336,40.0,49.333333333333336,40.0,False,22,23,44,68,29,50,False
2024020026,2024-10-12,False,TOR,PIT,29.0,22.0,,,,,,,,,21.0,18.0,,,,,,,,,57.0,57.0,,,,,,,,,59.0,58.0,,,,,,,,,41.0,43.0,,,,,,,,,30.0,43.0,,,,,,,,,False,29,21,51,58,37,39,False
2024020026,2024-10-12,True,PIT,TOR,21.0,18.0,,,,,,,,,29.0,22.0,,,,,,,,,59.0,58.0,,,,,,,,,57.0,57.0,,,,,,,,,30.0,43.0,,,,,,,,,41.0,43.0,,,,,,,,,False,21,29,58,51,39,37,False
2024020027,2024-10-12,True,OTT,MTL,23.0,20.0,,,,,,,,,31.0,28.0,,,,,,,,,59.0,61.0,,,,,,,,,70.0,64.0,,,,,,,,,43.0,41.0,,,,,,,,,40.0,52.0,,,,,,,,,False,24,22,54,52,30,39,False
2024020027,2024-10-12,False,MTL,OTT,31.0,28.0,,,,,,,,,23.0,20.0,,,,,,,,,70.0,64.0,,,,,,,,,59.0,61.0,,,,,,,,,40.0,52.0,,,,,,,,,43.0,41.0,,,,,,,,,False,22,24,52,55,39,31,False
2024020028,2024-10-12,True,NSH,DET,22.0,29.0,,,,,,,,,16.0,33.0,,,,,,,,,57.0,57.0,,,,,,,,,74.0,44.0,,,,,,,,,43.0,41.0,,,,,,,,,57.0,29.0,,,,,,,,,False,42,19,65,70,33,55,False
2024020028,2024-10-12,False,DET,NSH,16.0,33.0,,,,,,,,,22.0,29.0,,,,,,,,,74.0,44.0,,,,,,,,,57.0,57.0,,,,,,,,,57.0,29.0,,,,,,,,,43.0,41.0,,,,,,,,,False,19,42,70,65,55,33,False
2024020030,2024-10-12,True,UTA,NYR,31.0,34.0,,,,,,,,,23.0,21.0,,,,,,,,,79.0,62.0,,,,,,,,,58.0,64.0,,,,,,,,,58.0,51.0,,,,,,,,,38.0,41.0,,,,,,,,,False,20,29,68,62,55,45,False
2024020030,2024-10-12,False,NYR,UTA,23.0,21.0,,,,,,,,,31.0,34.0,,,,,,,,,58.0,64.0,,,,,,,,,79.0,62.0,,,,,,,,,38.0,41.0,,,,,,,,,58.0,51.0,,,,,,,,,False,29,20,62,68,45,55,False
